"","npts11","npts21","npts12","npts22","npts13","npts23","ntox11","ntox21","ntox12","ntox22","ntox13","ntox23","neff11","neff21","neff12","neff22","neff13","neff23","ppts11","ppts21","ppts12","ppts22","ppts13","ppts23","ptox11","ptox21","ptox12","ptox22","ptox13","ptox23","peff11","peff21","peff12","peff22","peff13","peff23","nct111","nct121","nct112","nct122","nct113","nct123","nct211","nct221","nct212","nct222","nct213","nct223","nct311","nct321","nct312","nct322","nct313","nct323","nct411","nct421","nct412","nct422","nct413","nct423","pct111","pct121","pct112","pct122","pct113","pct123","pct211","pct221","pct212","pct222","pct213","pct223","pct311","pct321","pct312","pct322","pct313","pct323","pct411","pct421","pct412","pct422","pct413","pct423"
"1",1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
"2",1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,2,2,3,3
"3",3,9,3,0,9,0,0,2,0,0,2,0,1,6,1,0,5,0,0.125,0.375,0.125,0,0.375,0,0,0.222222222222222,0,NA,0.222222222222222,NA,0.333333333333333,0.666666666666667,0.333333333333333,NA,0.555555555555556,NA,1,5,1,0,5,0,2,2,2,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0.333333333333333,0.555555555555556,0.333333333333333,NA,0.555555555555556,NA,0.666666666666667,0.222222222222222,0.666666666666667,NA,0.222222222222222,NA,0,0.111111111111111,0,NA,0,NA,0,0.111111111111111,0,NA,0.222222222222222,NA
"4",3,9,3,0,9,0,0,0,0,0,2,0,0,7,1,0,8,0,0.125,0.375,0.125,0,0.375,0,0,0,0,NA,0.222222222222222,NA,0,0.777777777777778,0.333333333333333,NA,0.888888888888889,NA,0,7,1,0,6,0,3,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.777777777777778,0.333333333333333,NA,0.666666666666667,NA,1,0.222222222222222,0.666666666666667,NA,0.111111111111111,NA,0,0,0,NA,0.222222222222222,NA,0,0,0,NA,0,NA
"5",9,9,9,0,0,0,0,1,1,0,0,0,4,8,8,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.111111111111111,0.111111111111111,NA,NA,NA,0.444444444444444,0.888888888888889,0.888888888888889,NA,NA,NA,4,7,7,0,0,0,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.444444444444444,0.777777777777778,0.777777777777778,NA,NA,NA,0.555555555555556,0.111111111111111,0.111111111111111,NA,NA,NA,0,0.111111111111111,0.111111111111111,NA,NA,NA,0,0,0,NA,NA,NA
"6",3,9,9,0,6,0,0,1,4,0,3,0,0,7,5,0,2,0,0.111111111111111,0.333333333333333,0.333333333333333,0,0.222222222222222,0,0,0.111111111111111,0.444444444444444,NA,0.5,NA,0,0.777777777777778,0.555555555555556,NA,0.333333333333333,NA,0,6,4,0,1,0,3,2,1,0,2,0,0,1,1,0,1,0,0,0,3,0,2,0,0,0.666666666666667,0.444444444444444,NA,0.166666666666667,NA,1,0.222222222222222,0.111111111111111,NA,0.333333333333333,NA,0,0.111111111111111,0.111111111111111,NA,0.166666666666667,NA,0,0,0.333333333333333,NA,0.333333333333333,NA
"7",6,9,9,0,0,0,1,0,0,0,0,0,2,6,5,0,0,0,0.25,0.375,0.375,0,0,0,0.166666666666667,0,0,NA,NA,NA,0.333333333333333,0.666666666666667,0.555555555555556,NA,NA,NA,2,6,5,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0.666666666666667,0.555555555555556,NA,NA,NA,0.5,0.333333333333333,0.444444444444444,NA,NA,NA,0,0,0,NA,NA,NA,0.166666666666667,0,0,NA,NA,NA
"8",9,9,9,0,6,0,0,0,2,0,3,0,4,7,5,0,6,0,0.272727272727273,0.272727272727273,0.272727272727273,0,0.181818181818182,0,0,0,0.222222222222222,NA,0.5,NA,0.444444444444444,0.777777777777778,0.555555555555556,NA,1,NA,4,7,3,0,3,0,5,2,4,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0.444444444444444,0.777777777777778,0.333333333333333,NA,0.5,NA,0.555555555555556,0.222222222222222,0.444444444444444,NA,0,NA,0,0,0.222222222222222,NA,0.5,NA,0,0,0,NA,0,NA
"9",9,9,9,0,0,0,1,0,1,0,0,0,4,6,6,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0.111111111111111,0,0.111111111111111,NA,NA,NA,0.444444444444444,0.666666666666667,0.666666666666667,NA,NA,NA,4,6,5,0,0,0,4,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.444444444444444,0.666666666666667,0.555555555555556,NA,NA,NA,0.444444444444444,0.333333333333333,0.333333333333333,NA,NA,NA,0,0,0.111111111111111,NA,NA,NA,0.111111111111111,0,0,NA,NA,NA
"10",3,9,6,3,9,0,0,0,2,2,1,0,1,5,2,2,6,0,0.1,0.3,0.2,0.1,0.3,0,0,0,0.333333333333333,0.666666666666667,0.111111111111111,NA,0.333333333333333,0.555555555555556,0.333333333333333,0.666666666666667,0.666666666666667,NA,1,5,1,0,5,0,2,4,3,1,3,0,0,0,1,2,1,0,0,0,1,0,0,0,0.333333333333333,0.555555555555556,0.166666666666667,0,0.555555555555556,NA,0.666666666666667,0.444444444444444,0.5,0.333333333333333,0.333333333333333,NA,0,0,0.166666666666667,0.666666666666667,0.111111111111111,NA,0,0,0.166666666666667,0,0,NA
